調查日期,鄉鎮市區,村里,調查地區分類,布氏指數,布氏級數,成蟲指數(埃及斑蚊),成蟲指數(白線斑蚊),住宅指數,住宅級數,容器級數,Latitude,Longitude,color
2015/8/11,安平區,西門里,住宅,10,3,0,0,6,2,7,23.0022304,120.1546002,darkpurple
2015/8/11,中西區,三合里,住宅,39,5,0,0,13,3,6,22.9999315,120.1960915,darkpurple
2015/8/11,中西區,郡王里,住宅,32,4,0,0,24,4,6,22.986515,120.2072739,darkpurple
2015/8/11,中西區,光賢里,住宅,4,1,0,0,4,2,3,23.0038665,120.1885158,darkgreen
2015/8/11,南　區,明亮里,住宅,23,4,0,0,15,3,5,22.9693947,120.1928448,darkpurple
2015/8/11,南　區,光明里,住宅,14,3,0,0,4,2,8,22.971944,120.1870727,darkpurple
2015/8/11,南　區,鯤鯓里,住宅,12,3,0,0,12,3,5,22.9566809,120.1733631,darkpurple
2015/8/11,南　區,開南里,住宅,2,1,0,0,2,1,4,22.9668748,120.1856297,darkgreen
2015/8/11,永康區,三合里,住宅,8,2,0,0,8,3,3,23.010739,120.2390123,darkgreen
2015/8/11,永康區,二王里,住宅,4,1,0,0,4,2,3,23.0177985,120.2469457,darkgreen
2015/8/11,安南區,安西里,住宅,8,2,0,0,5,2,4,23.0310345,120.2094381,darkgreen
2015/8/11,安南區,溪北里,住宅,5,2,0,0,4,2,3,23.0255799,120.2130451,darkgreen
2015/8/11,北　區,成德里,住宅,1,1,0,0,1,1,9,23.0134491,120.2036668,darkgreen
2015/8/10,安南區,溪東里,住宅,7,2,0,0,6,2,3,23.0253139,120.2015025,darkgreen
2015/8/10,安南區,溪東里,住宅,5,2,0,0,4,2,2,23.0253139,120.2015025,darkgreen
2015/8/12,永康區,五王里,住宅,2,1,0,0,2,1,2,23.0116465,120.2346848,darkgreen
2015/8/12,南　區,新興里,住宅,12,3,0,0,6,2,9,22.9799434,120.19537,darkpurple
2015/8/12,南　區,日新里,住宅,3,1,0,0,3,1,3,22.974026,120.1899588,darkgreen
2015/8/12,南　區,明亮里,住宅,4,1,0,0,4,2,3,22.9693947,120.1928448,darkgreen
2015/8/12,北　區,永祥里,住宅,1,1,0,0,1,1,2,23.0160134,120.2202587,darkgreen
2015/8/12,安南區,安富里,住宅,8,2,0,0,6,2,6,23.0251806,120.1957308,darkgreen
2015/8/12,安南區,安富里,住宅,4,1,0,0,4,2,4,23.0251806,120.1957308,darkgreen
2015/8/12,中西區,民生里,住宅,4,1,0,0,4,2,2,22.989425,120.1917626,darkgreen
2015/8/12,中西區,民權里,住宅,10,3,0,0,8,3,5,22.9969861,120.1957308,darkpurple
2015/8/12,安平區,華平里,住宅,5,2,0,0,5,2,2,22.9948005,120.1740847,darkgreen
2015/8/13,北　區,永祥里,住宅,1,1,0,0,1,1,1,23.0160134,120.2202587,darkgreen
2015/8/13,南　區,新興里,住宅,10,3,0,0,8,3,3,22.9799434,120.19537,darkpurple
2015/8/13,南　區,廣州里,住宅,2,1,0,0,2,1,2,22.9841637,120.1928448,darkgreen
2015/8/13,南　區,文華里,住宅,2,1,0,0,2,1,3,22.98611,120.1899588,darkgreen
2015/8/13,南　區,松安里,住宅,4,1,0,0,4,2,2,22.9248924,120.1776926,darkgreen
2015/8/13,永康區,三合里,住宅,8,2,0,0,8,3,3,23.010739,120.2390123,darkgreen
2015/8/13,永康區,甲頂里,住宅,4,1,0,0,4,2,3,23.0217702,120.2152092,darkgreen
