id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
﻿序號,縣市,流域,河川,測點,採樣日期,RPI指標,一般項目,,,,,,,,,,,
,,,,,,"RPI River Pollution Index","水溫 Water Temperature (℃)","酸鹼值 pH","導電度 Conductivity (μmho/cm25℃)","氨氮 NH3-N (mg/L)","氯鹽 Chloride (mg/L)","氣溫 Temperature (℃)","懸浮固體 Suspended Solid (mg/L)","溶氧(電極法) Dissolved Oxygen (mg/L)","化學需氧量 Chemical Oxygen Demand (mg/L)","溶氧飽和度 Dissolved Oxygen Saturation (%)","生化需氧量 Biochemical Oxygen Demand (mg/L)","大腸桿菌群 Coliform Group (CFU/100mL)"
62,臺南市,二仁溪流域,二仁溪,南萣橋,2017/02/07,2.8,22.9,7.9,"46,400",1.78,"19,100",24.6,15.2,5.9,9.4,82.8,1.1,"940,000"
63,臺南市,二仁溪流域,二仁溪,永寧橋,2017/02/07,6.8,23.1,7.7,"7,050",14.5,"2,050",26.0,12.8,1.0,39.5,12.0,10.0,"2,700,000"
64,臺南市,二仁溪流域,二仁溪,網寮橋(原為建國村),2017/02/07,5.5,24.5,8.2,781,18.3,-,27.3,16.1,8.5,54.4,102.2,16.9,"380,000"
65,臺南市,八掌溪流域,八掌溪,厚生橋,2017/02/09,3.8,19.5,8.0,662,3.54,-,20.1,37.5,8.0,16.2,86.4,2.3,"5,000"
66,臺南市,八掌溪流域,八掌溪,嘉南大橋,2017/02/09,3.5,19.4,8.0,"10,400",2.14,"3,160",21.4,72.1,9.1,16.2,102.4,2.7,500
67,臺南市,急水溪流域,急水溪,二港橋,2017/02/09,6.3,19.9,7.5,"9,610",4.71,"3,100",22.1,33.3,2.2,26.3,24.4,5.5,"48,000"
68,臺南市,急水溪流域,急水溪,五王大橋(原為南鯤鯓),2017/02/09,4.3,19.0,7.9,"26,900",3.76,"9,580",19.0,34.2,6.1,17.4,73.3,1.3,"5,700"
69,臺南市,急水溪流域,急水溪,台19甲急水溪橋,2017/02/09,7.3,20.2,7.3,593,5.02,-,22.0,45.0,0.8,65.4,9.2,14.7,"270,000"
70,臺南市,急水溪流域,急水溪,台1線急水溪橋,2017/02/09,4.0,19.6,7.7,503,2.65,-,20.5,50.3,6.1,13.4,66.8,1.9,"9,000"
71,臺南市,急水溪流域,急水溪,宅港橋,2017/02/09,7.3,19.9,7.5,"3,150",5.1,802,20.2,20.3,1.3,38.8,14.6,9.4,"97,000"
72,臺南市,急水溪流域,急水溪,甘宅二號橋(原為木屐寮),2017/02/09,-,-,-,-,-,-,-,-,-,-,-,-,-
73,臺南市,急水溪流域,急水溪,青葉橋,2017/02/09,-,-,-,-,-,-,-,-,-,-,-,-,-
74,臺南市,曾文溪流域,曾文溪,二溪大橋,2017/02/07,1.0,23.3,8.2,669,0.04,-,26.8,11.3,8.7,6.1,102.3,1.1,110
75,臺南市,曾文溪流域,曾文溪,國姓橋(原為國聖橋),2017/02/07,1.0,21.2,8.0,"39,700",0.08,"15,400",26.7,13.8,7.2,10.0,94.1,1.2,70
76,臺南市,曾文溪流域,曾文溪,大內橋（取代北勢洲橋）,2017/02/07,1.0,22.2,7.9,950,0.08,-,31.2,14.5,8.1,7.0,93.6,<1.0,110
77,臺南市,曾文溪流域,曾文溪,曾文一橋(原為曾文一號橋),2017/02/07,1.0,22.2,8.3,607,<0.01,-,25.0,11.5,9.1,6.5,105.3,1.3,40
78,臺南市,曾文溪流域,曾文溪,曾文溪橋,2017/02/07,2.3,25.1,8.1,870,0.14,-,26.5,78.3,10.6,9.6,127.4,1.9,"4,100"
79,臺南市,曾文溪流域,曾文溪,曾文溪河口,2017/02/07,1.5,21.0,8.2,"51,400",0.02,"22,500",23.5,30.0,7.0,5.0,94.7,1.0,50
80,臺南市,曾文溪流域,曾文溪,玉井橋,2017/02/07,1.0,23.0,8.1,665,<0.01,-,25.2,12.2,9.1,5.9,106.1,<1.0,25
81,臺南市,曾文溪流域,曾文溪,玉峰大橋,2017/02/07,1.0,23.2,8.0,"1,160",0.01,-,26.6,16.9,10.6,11.3,123.3,2.1,40
82,臺南市,曾文溪流域,曾文溪,西港大橋,2017/02/07,1.0,21.5,7.9,"31,000",0.25,"11,000",25.1,7.3,7.4,7.6,95.0,1.4,700
83,臺南市,曾文溪流域,曾文溪,走馬瀨橋,2017/02/07,1.0,22.5,8.2,563,<0.01,-,27.4,6.1,9.7,5.3,112.3,1.5,60
84,臺南市,曾文溪流域,曾文溪,麻善大橋,2017/02/07,1.0,21.8,7.9,"14,800",0.27,"5,070",25.6,12.1,7.2,6.6,84.8,1.2,200
85,臺南市,鹽水溪流域,鹽水溪,千鳥橋,2017/02/07,1.0,21.4,8.3,562,0.07,-,24.5,18.2,8.2,5.6,92.1,<1.0,"3,000"
86,臺南市,鹽水溪流域,鹽水溪,同心橋,2017/02/07,3.3,22.5,8.4,547,0.06,-,26.0,149,8.9,9.9,103.3,<1.0,"5,700"
87,臺南市,鹽水溪流域,鹽水溪,新灣橋,2017/02/07,-,-,-,-,-,-,-,-,-,-,-,-,-
88,臺南市,鹽水溪流域,鹽水溪,溪頂寮大橋(原太平橋),2017/02/07,5.8,23.6,7.6,"12,000",11.3,"3,610",25.0,10.1,3.5,26.4,42.7,5.0,"330,000"
89,臺南市,鹽水溪流域,鹽水溪,豐化橋,2017/02/07,5.8,23.1,7.7,812,18.7,-,25.0,10.1,2.0,11.0,22.8,7.6,"8,100,000"
90,臺南市,鹽水溪流域,鹽水溪,鹽水溪橋,2017/02/07,-,-,-,-,-,-,-,-,-,-,-,-,-
91,高雄市,二仁溪流域,二仁溪,二層橋,2017/02/07,7.3,21.9,8.3,"1,090",40.2,-,22.6,27.1,3.5,94.2,40.2,19.8,"54,000"
