案類,發生日期,發生地點
住宅竊盜,1040131,新北市深坑區
住宅竊盜,1040131,雲林縣麥寮鄉
住宅竊盜,1040131,台中市豐原區
住宅竊盜,1040131,台南市安定區
住宅竊盜,1040131,南投縣水里鄉
住宅竊盜,1040131,桃園市大溪區
住宅竊盜,1040131,新北市三重區
住宅竊盜,1040131,台中市大里區
住宅竊盜,1040131,彰化縣大村鄉
住宅竊盜,1040201,新北市板橋區
住宅竊盜,1040201,台中市南屯區
住宅竊盜,1040201,花蓮縣花蓮市
住宅竊盜,1040201,台南市中西區
住宅竊盜,1040201,台南市安南區
住宅竊盜,1040201,花蓮縣吉安鄉
住宅竊盜,1040201,新竹縣芎林鄉
住宅竊盜,1040201,台北市信義區
住宅竊盜,1040201,新北市板橋區
住宅竊盜,1040201,新北市板橋區
住宅竊盜,1040201,新北市中和區
住宅竊盜,1040202,彰化縣二林鎮
住宅竊盜,1040202,台南市安平區
住宅竊盜,1040202,台南市北區
住宅竊盜,1040202,台南市學甲區
住宅竊盜,1040202,台中市西區
住宅竊盜,1040202,台南市學甲區
住宅竊盜,1040202,新北市三峽區
住宅竊盜,1040202,台北市中正區
住宅竊盜,1040202,新竹縣竹北市
住宅竊盜,1040202,新北市板橋區
住宅竊盜,1040202,苗栗縣銅鑼鄉
住宅竊盜,1040203,雲林縣斗六市
住宅竊盜,1040203,基隆市中正區
住宅竊盜,1040203,新北市板橋區
住宅竊盜,1040203,花蓮縣瑞穗鄉
住宅竊盜,1040203,新竹市香山區
住宅竊盜,1040203,台北市文山區
住宅竊盜,1040203,苗栗縣苗栗市
住宅竊盜,1040203,高雄市鳥松區
住宅竊盜,1040203,雲林縣麥寮鄉
住宅竊盜,1040204,新北市新莊區
住宅竊盜,1040204,台中市西屯區
住宅竊盜,1040204,宜蘭縣三星鄉
住宅竊盜,1040204,花蓮縣卓溪鄉
住宅竊盜,1040204,新北市三重區
住宅竊盜,1040204,基隆市仁愛區
住宅竊盜,1040204,台北市中山區
住宅竊盜,1040204,苗栗縣苑裡鎮
住宅竊盜,1040205,新北市新莊區
住宅竊盜,1040205,台北市士林區
住宅竊盜,1040205,新北市汐止區
住宅竊盜,1040205,台北市內湖區
住宅竊盜,1040205,高雄市阿蓮區
住宅竊盜,1040205,新北市新莊區
住宅竊盜,1040206,新北市中和區
住宅竊盜,1040206,花蓮縣光復鄉
住宅竊盜,1040206,台北市內湖區
住宅竊盜,1040206,雲林縣北港鎮
住宅竊盜,1040206,新北市中和區
住宅竊盜,1040206,花蓮縣花蓮市
住宅竊盜,1040206,新北市瑞芳區
住宅竊盜,1040206,台中市沙鹿區
住宅竊盜,1040206,宜蘭縣三星鄉
住宅竊盜,1040206,新北市汐止區
住宅竊盜,1040207,雲林縣斗南鎮
住宅竊盜,1040207,雲林縣古坑鄉
住宅竊盜,1040207,新竹縣竹東鎮
住宅竊盜,1040207,台北市中正區
住宅竊盜,1040207,高雄市楠梓區
住宅竊盜,1040207,宜蘭縣冬山鄉
住宅竊盜,1040208,台中市北屯區
住宅竊盜,1040208,台北市大安區
住宅竊盜,1040209,屏東縣潮州鎮
住宅竊盜,1040209,台中市豐原區
住宅竊盜,1040209,桃園市平鎮區
住宅竊盜,1040209,新北市板橋區
住宅竊盜,1040209,台北市文山區
住宅竊盜,1040209,新竹市香山區
住宅竊盜,1040209,台中市西區
住宅竊盜,1040209,桃園市蘆竹區
住宅竊盜,1040209,台北市萬華區
住宅竊盜,1040209,雲林縣口湖鄉
住宅竊盜,1040209,南投縣名間鄉
住宅竊盜,1040209,台東縣太麻里鄉
住宅竊盜,1040210,台北市士林區
住宅竊盜,1040210,新北市泰山區
住宅竊盜,1040210,南投縣集集鎮
住宅竊盜,1040210,南投縣草屯鎮
住宅竊盜,1040210,台南市佳里區
住宅竊盜,1040210,台北市大安區
住宅竊盜,1040210,苗栗縣苗栗市
住宅竊盜,1040211,屏東縣佳冬鄉
住宅竊盜,1040211,台北市內湖區
住宅竊盜,1040211,屏東縣屏東市
住宅竊盜,1040211,新北市永和區
住宅竊盜,1040211,新北市中和區
住宅竊盜,1040211,台中市西屯區
住宅竊盜,1040211,新北市板橋區
住宅竊盜,1040211,新北市三芝區
住宅竊盜,1040211,雲林縣北港鎮
住宅竊盜,1040212,新北市汐止區
住宅竊盜,1040212,台中市石岡區
住宅竊盜,1040212,台北市文山區
住宅竊盜,1040212,高雄市仁武區
住宅竊盜,1040212,新北市板橋區
住宅竊盜,1040212,新北市板橋區
住宅竊盜,1040212,新北市板橋區
住宅竊盜,1040212,台中市龍井區
住宅竊盜,1040212,新北市新莊區
住宅竊盜,1040212,新北市新莊區
住宅竊盜,1040213,台南市安平區
住宅竊盜,1040213,花蓮縣花蓮市
住宅竊盜,1040213,台中市潭子區
住宅竊盜,1040213,新北市板橋區
住宅竊盜,1040213,苗栗縣苑裡鎮
住宅竊盜,1040213,苗栗縣頭份鎮
住宅竊盜,1040213,南投縣國姓鄉
住宅竊盜,1040213,台北市中山區
住宅竊盜,1040213,台北市中山區
住宅竊盜,1040213,雲林縣麥寮鄉
住宅竊盜,1040213,桃園市大園區
住宅竊盜,1040213,新北市泰山區
住宅竊盜,1040213,新北市中和區
住宅竊盜,1040213,新竹市東區
住宅竊盜,1040213,台中市北區
住宅竊盜,1040213,新竹縣橫山鄉
住宅竊盜,1040214,新北市瑞芳區
住宅竊盜,1040214,台北市士林區
住宅竊盜,1040214,南投縣草屯鎮
住宅竊盜,1040214,新北市三重區
住宅竊盜,1040214,新北市三重區
住宅竊盜,1040214,新北市中和區
住宅竊盜,1040214,台南市白河區
住宅竊盜,1040214,屏東縣竹田鄉
住宅竊盜,1040214,南投縣草屯鎮
住宅竊盜,1040214,苗栗縣苗栗市
住宅竊盜,1040215,新北市新店區
住宅竊盜,1040215,新北市新店區
